time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),ville
2020-07-08,20.5,26.5,12.9,63,12.7,Paris
2020-07-08,10.4,15.4,6.9,88,6.7,Sydney
2020-07-08,24.8,27.1,23.3,87,29.3,Tokyo
2020-07-09,13.4,17.6,9.2,73,17.8,Antananarivo
2020-07-09,17.0,22.2,11.5,76,8.0,Nairobi
2020-07-09,25.3,29.6,21.8,82,9.4,New York
2020-07-09,23.4,30.3,15.1,60,12.5,Paris
2020-07-09,11.9,16.1,8.4,90,6.6,Sydney
2020-07-09,23.9,26.4,22.3,88,21.9,Tokyo
2020-07-10,13.7,17.4,10.7,77,16.3,Antananarivo
2020-07-10,16.6,22.8,11.0,78,7.4,Nairobi
2020-07-10,23.2,24.8,22.4,96,18.1,New York
2020-07-10,19.1,22.3,14.5,60,16.2,Paris
2020-07-10,12.4,16.0,10.4,92,5.5,Sydney
2020-07-10,25.7,28.6,24.5,86,28.2,Tokyo
2020-07-11,14.2,18.4,10.0,80,14.3,Antananarivo
2020-07-11,16.3,23.0,9.7,74,6.8,Nairobi
2020-07-11,24.6,28.2,22.3,87,19.3,New York
2020-07-11,17.9,23.8,10.9,51,11.4,Paris
2020-07-11,10.7,15.3,7.3,94,6.9,Sydney
2020-07-11,26.2,28.7,23.4,86,27.5,Tokyo
2020-07-12,14.7,19.5,10.3,79,9.5,Antananarivo
2020-07-12,17.6,23.4,11.8,70,6.8,Nairobi
2020-07-12,25.5,30.9,20.7,69,16.1,New York
2020-07-12,19.3,25.1,11.7,49,12.4,Paris
2020-07-12,11.2,16.3,7.2,89,6.7,Sydney
2020-07-12,24.2,31.1,19.7,80,11.4,Tokyo
2020-07-13,14.7,20.3,8.8,75,5.5,Antananarivo
2020-07-13,16.7,21.7,11.4,75,6.1,Nairobi
2020-07-13,25.9,31.1,21.2,64,9.6,New York
2020-07-13,20.9,26.8,13.7,44,10.9,Paris
2020-07-13,12.0,14.9,10.1,83,15.7,Sydney
2020-07-13,21.6,23.6,20.7,88,14.2,Tokyo
2020-07-14,14.5,21.6,8.3,75,7.5,Antananarivo
2020-07-14,17.1,22.0,13.5,76,6.4,Nairobi
2020-07-14,24.5,28.1,19.9,64,12.7,New York
2020-07-14,18.6,22.8,14.2,64,9.4,Paris
2020-07-14,12.3,14.5,11.0,82,28.3,Sydney
2020-07-14,22.5,25.6,20.4,92,11.2,Tokyo
2020-07-15,14.1,22.0,7.6,68,8.1,Antananarivo
2020-07-15,17.2,21.4,14.0,77,6.1,Nairobi
2020-07-15,23.2,25.6,20.2,78,10.1,New York
2020-07-15,18.5,21.8,15.6,65,10.9,Paris
2020-07-15,12.2,14.9,10.4,65,21.3,Sydney
2020-07-15,20.2,23.1,17.8,88,15.8,Tokyo
2020-07-16,13.9,19.6,9.9,73,17.1,Antananarivo
2020-07-16,16.3,20.2,13.7,80,9.2,Nairobi
2020-07-16,22.1,24.0,20.5,74,15.2,New York
2020-07-16,18.5,21.0,16.1,70,11.8,Paris
2020-07-16,12.6,14.4,10.9,67,19.6,Sydney
2020-07-16,21.0,24.5,18.8,85,11.3,Tokyo
2020-07-17,12.2,17.6,8.5,68,18.5,Antananarivo
2020-07-17,16.8,21.9,12.8,63,7.5,Nairobi
2020-07-17,23.4,29.2,20.2,77,13.4,New York
2020-07-17,21.0,25.2,16.2,61,7.4,Paris
2020-07-17,12.1,14.6,9.1,80,15.1,Sydney
2020-07-17,19.9,21.5,18.9,91,10.6,Tokyo
2020-07-18,12.7,18.0,7.7,72,19.8,Antananarivo
2020-07-18,15.9,20.7,12.4,62,7.6,Nairobi
2020-07-18,26.0,32.6,20.8,72,7.1,New York
2020-07-18,21.9,28.0,15.7,59,8.6,Paris
2020-07-18,11.3,16.5,6.3,82,7.8,Sydney
2020-07-18,21.5,23.5,19.7,92,8.2,Tokyo
2020-07-19,12.2,16.7,9.1,75,19.1,Antananarivo
2020-07-19,15.8,19.7,12.3,70,5.5,Nairobi
2020-07-19,27.1,33.7,21.7,72,14.2,New York
2020-07-19,22.2,29.5,14.2,54,8.0,Paris
2020-07-19,12.7,18.2,6.5,65,13.5,Sydney
2020-07-19,24.6,28.2,21.8,88,9.7,Tokyo
2020-07-20,12.1,15.4,8.9,76,16.2,Antananarivo
2020-07-20,15.7,19.4,10.7,74,6.5,Nairobi
2020-07-20,29.7,35.7,25.5,66,14.2,New York
2020-07-20,20.6,26.0,15.0,55,16.0,Paris
2020-07-20,11.2,16.3,7.3,58,16.4,Sydney
2020-07-20,25.4,30.3,22.0,86,9.6,Tokyo
2020-07-21,12.9,18.4,9.5,74,13.0,Antananarivo
2020-07-21,16.7,21.2,12.4,75,5.6,Nairobi
2020-07-21,27.0,31.7,21.9,61,10.1,New York
2020-07-21,19.8,25.6,13.3,44,14.7,Paris
2020-07-21,10.0,14.9,5.8,73,11.3,Sydney
2020-07-21,25.2,28.0,23.9,87,16.0,Tokyo
2020-07-22,12.3,16.9,7.7,72,15.7,Antananarivo
2020-07-22,17.7,22.8,13.1,76,6.8,Nairobi
2020-07-22,27.4,31.7,23.6,75,8.4,New York
2020-07-22,19.8,25.5,13.3,44,12.0,Paris
2020-07-22,10.2,17.2,5.0,81,8.7,Sydney
2020-07-22,25.4,28.0,22.9,91,9.3,Tokyo
2020-07-23,12.0,16.0,7.6,72,21.8,Antananarivo
2020-07-23,17.7,24.2,12.8,72,8.2,Nairobi
2020-07-23,25.6,31.0,23.0,85,12.0,New York
2020-07-23,21.2,27.7,13.1,44,6.6,Paris
2020-07-23,10.5,16.7,7.3,86,7.2,Sydney
2020-07-23,23.1,24.9,21.3,89,7.1,Tokyo
2020-07-24,12.1,15.5,10.0,74,22.2,Antananarivo
2020-07-24,16.9,23.2,13.0,71,7.6,Nairobi
2020-07-24,24.4,26.5,23.1,86,9.7,New York
2020-07-24,20.9,24.5,16.4,58,11.2,Paris
2020-07-24,11.3,17.0,7.2,88,7.2,Sydney
2020-07-24,25.2,27.4,23.6,87,11.2,Tokyo
2020-07-25,11.4,15.0,8.6,75,21.7,Antananarivo
2020-07-25,16.9,23.3,11.9,63,7.7,Nairobi
2020-07-25,24.9,29.8,21.1,83,6.9,New York
2020-07-25,21.3,26.7,15.8,65,14.4,Paris
2020-07-25,12.6,16.6,9.4,91,6.2,Sydney
2020-07-25,25.3,27.3,24.1,89,21.3,Tokyo
2020-07-26,11.0,14.8,8.2,79,15.9,Antananarivo
2020-07-26,16.2,23.0,10.2,68,6.5,Nairobi
2020-07-26,28.1,34.1,22.9,67,14.2,New York
2020-07-26,20.7,25.0,16.9,61,14.1,Paris
2020-07-26,14.8,15.7,12.4,93,18.4,Sydney
2020-07-26,25.8,29.8,23.9,86,19.4,Tokyo
2020-07-27,14.1,19.2,8.1,73,7.5,Antananarivo
2020-07-27,16.7,21.1,13.5,74,5.9,Nairobi
2020-07-27,28.3,35.4,21.5,53,12.3,New York
2020-07-27,23.4,30.7,15.1,49,17.7,Paris
2020-07-27,13.6,15.6,12.2,88,22.3,Sydney
2020-07-27,26.1,30.2,23.5,88,14.3,Tokyo
2020-07-28,14.4,17.6,12.3,84,10.8,Antananarivo
2020-07-28,16.7,19.4,14.6,76,6.1,Nairobi
2020-07-28,29.3,34.1,25.0,62,13.9,New York
2020-07-28,20.4,24.2,15.8,56,16.3,Paris
2020-07-28,13.8,16.6,10.6,76,13.5,Sydney
2020-07-28,25.6,29.7,22.0,88,12.0,Tokyo
2020-07-29,15.9,19.5,13.0,84,9.2,Antananarivo
2020-07-29,17.0,21.6,12.9,75,6.2,Nairobi
2020-07-29,27.1,31.2,22.8,69,7.7,New York
2020-07-29,19.6,26.1,12.0,54,5.8,Paris
2020-07-29,12.8,17.7,8.2,80,12.0,Sydney
2020-07-29,22.3,25.0,20.4,87,11.0,Tokyo
2020-07-30,17.2,23.1,13.2,79,4.9,Antananarivo
2020-07-30,16.8,22.0,12.1,73,6.0,Nairobi
2020-07-30,27.5,32.4,22.8,64,8.7,New York
2020-07-30,23.6,31.7,13.7,44,8.4,Paris
2020-07-30,13.4,16.6,10.3,69,17.1,Sydney
2020-07-30,22.8,25.5,21.3,88,6.5,Tokyo
2020-07-31,16.4,21.5,12.5,81,14.2,Antananarivo
2020-07-31,17.1,22.8,11.3,75,6.2,Nairobi
2020-07-31,24.6,28.7,22.0,83,7.2,New York
2020-07-31,28.6,38.3,19.7,38,11.9,Paris
2020-07-31,9.7,15.6,5.2,83,7.9,Sydney
2020-07-31,24.9,28.6,22.3,88,10.9,Tokyo
2020-08-01,14.6,19.7,9.7,77,15.3,Antananarivo
2020-08-01,17.0,23.0,11.7,72,7.4,Nairobi
2020-08-01,25.3,29.4,19.8,69,8.6,New York
2020-08-01,23.9,27.7,19.5,59,11.8,Paris
2020-08-01,10.7,17.7,5.4,80,8.9,Sydney
2020-08-01,25.0,28.8,21.3,81,12.6,Tokyo
2020-08-02,13.7,18.9,9.6,71,19.1,Antananarivo
2020-08-02,15.5,22.2,10.8,71,8.0,Nairobi
2020-08-02,25.7,28.9,23.3,85,13.3,New York
2020-08-02,20.5,24.7,16.7,52,14.0,Paris
2020-08-02,10.5,17.9,5.1,81,7.8,Sydney
2020-08-02,25.3,29.5,21.6,81,8.8,Tokyo
2020-08-03,12.3,16.4,9.3,72,19.8,Antananarivo
2020-08-03,15.6,22.3,8.9,66,7.7,Nairobi
2020-08-03,27.5,31.5,23.8,65,15.2,New York
2020-08-03,18.3,23.2,14.9,57,13.0,Paris
2020-08-03,12.1,19.1,8.0,70,8.9,Sydney
2020-08-03,26.3,30.2,23.8,82,12.0,Tokyo
2020-08-04,12.3,17.3,7.7,78,12.6,Antananarivo
2020-08-04,16.4,22.6,10.5,69,6.2,Nairobi
2020-08-04,24.5,26.6,23.0,87,24.5,New York
2020-08-04,19.2,25.6,12.1,55,5.9,Paris
2020-08-04,11.7,20.2,4.6,55,15.8,Sydney
2020-08-04,27.1,31.1,23.9,84,12.5,Tokyo
2020-08-05,13.9,23.0,7.6,74,6.8,Antananarivo
2020-08-05,16.5,22.6,10.8,72,6.3,Nairobi
2020-08-05,25.7,30.6,21.6,70,12.4,New York
2020-08-05,22.8,30.0,13.6,39,9.6,Paris
2020-08-05,9.3,15.2,5.5,57,16.3,Sydney
2020-08-05,27.4,31.7,23.7,83,12.2,Tokyo
2020-08-06,14.6,22.8,8.3,76,7.9,Antananarivo
2020-08-06,17.7,25.3,11.2,68,6.7,Nairobi
2020-08-06,22.2,25.3,18.7,77,8.5,New York
2020-08-06,25.5,33.6,15.4,38,6.0,Paris
2020-08-06,10.6,14.2,7.5,69,9.4,Sydney
2020-08-06,27.1,30.7,24.3,80,23.0,Tokyo
2020-08-07,16.7,25.5,10.3,75,4.9,Antananarivo
2020-08-07,17.8,25.2,11.5,70,6.8,Nairobi
2020-08-07,23.6,27.1,21.5,76,8.1,New York
2020-08-07,27.9,35.7,18.7,38,8.7,Paris
2020-08-07,11.8,13.3,10.0,94,8.4,Sydney
2020-08-07,28.0,32.6,25.0,80,15.8,Tokyo
2020-08-08,14.9,20.4,11.2,75,16.9,Antananarivo
2020-08-08,17.5,23.9,12.4,67,6.8,Nairobi
2020-08-08,23.2,26.3,20.5,85,6.8,New York
2020-08-08,29.5,36.5,20.4,38,9.4,Paris
2020-08-08,11.4,16.3,7.8,87,11.6,Sydney
2020-08-08,26.9,31.5,22.5,81,12.8,Tokyo
2020-08-09,12.7,18.6,8.1,69,13.6,Antananarivo
2020-08-09,17.1,22.7,11.9,67,7.6,Nairobi
2020-08-09,24.5,29.0,20.6,85,9.8,New York
2020-08-09,30.5,37.6,22.9,39,10.6,Paris
2020-08-09,11.8,14.0,8.9,84,25.8,Sydney
2020-08-09,28.7,33.3,25.0,80,10.3,Tokyo
2020-08-10,12.9,21.3,6.9,68,6.0,Antananarivo
2020-08-10,17.6,25.2,10.9,72,6.6,Nairobi
2020-08-10,26.3,31.3,22.2,80,10.1,New York
2020-08-10,27.9,33.0,23.2,49,8.0,Paris
2020-08-10,11.5,14.2,8.5,81,18.7,Sydney
2020-08-10,29.5,33.9,25.7,77,11.7,Tokyo
2020-08-11,13.9,22.4,5.9,68,9.7,Antananarivo
2020-08-11,18.5,26.6,12.6,74,5.6,Nairobi
2020-08-11,26.7,29.1,23.8,81,12.5,New York
2020-08-11,28.6,34.6,21.4,47,3.9,Paris
2020-08-11,11.9,16.5,8.3,81,7.5,Sydney
2020-08-11,30.1,34.6,26.3,75,20.2,Tokyo
2020-08-12,12.5,18.9,6.8,74,10.7,Antananarivo
2020-08-12,17.7,23.6,13.3,83,6.8,Nairobi
2020-08-12,26.6,30.6,23.2,84,8.4,New York
2020-08-12,28.0,35.7,22.6,52,8.6,Paris
2020-08-12,13.1,17.9,9.1,84,8.8,Sydney
2020-08-12,29.3,33.7,25.1,77,8.5,Tokyo
2020-08-13,12.5,20.7,6.1,67,6.8,Antananarivo
2020-08-13,18.5,24.8,14.6,81,4.7,Nairobi
2020-08-13,24.6,27.3,23.5,85,7.1,New York
2020-08-13,23.6,28.7,20.4,74,13.1,Paris
2020-08-13,13.4,20.0,8.3,81,6.9,Sydney
2020-08-13,29.2,34.5,24.7,77,8.8,Tokyo
2020-08-14,14.8,22.7,6.8,66,11.2,Antananarivo
2020-08-14,17.6,23.1,15.0,83,5.9,Nairobi
2020-08-14,25.2,29.5,22.0,77,9.1,New York
2020-08-14,21.3,25.0,18.8,81,9.1,Paris
2020-08-14,14.3,17.9,10.8,90,6.6,Sydney
2020-08-14,29.3,33.9,25.7,76,12.7,Tokyo
2020-08-15,13.5,20.8,7.8,67,10.5,Antananarivo
2020-08-15,18.9,25.5,14.3,76,5.9,Nairobi
2020-08-15,24.1,28.7,20.9,70,11.1,New York
2020-08-15,21.7,26.5,17.8,76,6.0,Paris
2020-08-15,14.2,17.5,12.0,65,16.3,Sydney
2020-08-15,30.9,35.6,26.5,72,10.0,Tokyo
2020-08-16,13.8,21.6,6.6,69,9.2,Antananarivo
2020-08-16,16.6,21.8,13.2,75,6.6,Nairobi
2020-08-16,20.5,22.6,18.9,85,18.4,New York
2020-08-16,21.2,25.7,17.4,76,8.6,Paris
2020-08-16,13.7,17.7,10.8,61,18.2,Sydney
2020-08-16,30.5,35.2,26.8,74,9.6,Tokyo
2020-08-17,15.5,22.8,7.8,72,9.5,Antananarivo
2020-08-17,17.5,22.8,14.1,76,6.9,Nairobi
2020-08-17,20.4,25.8,16.5,81,11.4,New York
2020-08-17,19.4,23.3,16.3,75,12.8,Paris
2020-08-17,12.7,17.9,8.3,65,13.5,Sydney
2020-08-17,30.4,36.1,26.7,75,15.8,Tokyo
2020-08-18,14.6,21.6,8.7,69,11.0,Antananarivo
2020-08-18,18.1,24.6,13.4,67,6.2,Nairobi
2020-08-18,23.0,28.2,18.3,74,8.6,New York
2020-08-18,21.0,25.6,14.9,65,6.9,Paris
2020-08-18,14.2,19.4,8.8,63,13.7,Sydney
2020-08-18,29.1,34.0,24.7,72,12.1,Tokyo
2020-08-19,15.6,22.6,8.9,68,8.8,Antananarivo
2020-08-19,17.4,21.6,14.8,77,6.2,Nairobi
2020-08-19,21.2,24.8,18.9,84,5.9,New York
2020-08-19,21.2,25.0,17.6,78,13.3,Paris
2020-08-19,13.6,18.8,9.7,53,23.6,Sydney
2020-08-19,29.1,34.0,25.7,71,15.0,Tokyo
2020-08-20,15.7,22.1,11.0,74,10.0,Antananarivo
2020-08-20,17.6,22.1,14.0,73,6.9,Nairobi
2020-08-20,21.2,25.6,16.6,72,7.5,New York
2020-08-20,25.1,31.4,19.2,66,10.8,Paris
2020-08-20,12.0,16.4,8.5,57,20.2,Sydney
2020-08-20,29.7,34.7,25.9,71,15.1,Tokyo
2020-08-21,16.2,23.2,9.3,71,8.7,Antananarivo
2020-08-21,17.1,21.6,13.6,74,8.7,Nairobi
2020-08-21,22.5,28.5,17.9,75,12.4,New York
2020-08-21,23.8,27.3,19.3,58,18.5,Paris
2020-08-21,11.9,16.8,7.5,58,18.6,Sydney
2020-08-21,30.1,36.0,25.8,70,15.1,Tokyo
2020-08-22,15.0,21.1,9.3,71,13.6,Antananarivo
2020-08-22,16.7,21.5,13.1,78,6.4,Nairobi
2020-08-22,24.9,29.8,21.2,76,11.7,New York
2020-08-22,20.9,24.5,16.7,61,19.9,Paris
2020-08-22,10.1,13.7,8.1,54,22.3,Sydney
2020-08-22,28.9,35.5,23.3,70,13.1,Tokyo
2020-08-23,13.8,19.8,8.5,70,12.9,Antananarivo
2020-08-23,16.4,20.0,14.0,77,6.6,Nairobi
2020-08-23,24.4,28.2,20.3,81,9.9,New York
2020-08-23,18.6,22.1,15.0,65,14.1,Paris
2020-08-23,10.5,15.0,7.5,57,23.3,Sydney
2020-08-23,25.4,27.2,23.0,87,8.8,Tokyo
2020-08-24,15.4,22.5,8.1,72,8.7,Antananarivo
2020-08-24,16.6,20.9,14.0,78,7.2,Nairobi
2020-08-24,25.6,31.6,21.6,80,9.0,New York
2020-08-24,18.1,22.2,13.2,65,10.2,Paris
2020-08-24,10.2,16.2,5.8,60,13.4,Sydney
2020-08-24,26.3,30.1,22.8,82,10.7,Tokyo
2020-08-25,17.2,24.2,12.9,73,8.6,Antananarivo
2020-08-25,17.5,23.3,14.2,73,6.8,Nairobi
2020-08-25,26.4,32.9,22.5,76,14.5,New York
2020-08-25,20.7,27.9,15.7,64,21.4,Paris
2020-08-25,8.9,14.8,4.2,74,10.1,Sydney
2020-08-25,26.6,30.9,22.8,81,9.1,Tokyo
2020-08-26,16.8,22.6,12.1,73,8.8,Antananarivo
2020-08-26,17.2,23.5,13.0,70,6.2,Nairobi
2020-08-26,23.0,26.7,19.1,52,17.0,New York
2020-08-26,19.3,23.6,14.3,59,18.5,Paris
2020-08-26,9.6,16.5,4.2,74,8.5,Sydney
2020-08-26,28.0,32.1,25.0,81,8.8,Tokyo
2020-08-27,17.7,25.5,12.8,72,8.1,Antananarivo
2020-08-27,17.7,23.4,14.5,73,5.7,Nairobi
2020-08-27,24.5,33.3,19.2,65,12.1,New York
2020-08-27,18.9,25.3,13.3,69,11.9,Paris
2020-08-27,13.2,19.0,8.8,48,12.8,Sydney
2020-08-27,28.7,32.2,25.9,80,12.6,Tokyo
2020-08-28,16.7,23.7,11.8,71,11.2,Antananarivo
2020-08-28,17.8,23.8,13.9,74,7.2,Nairobi
2020-08-28,24.6,31.4,20.5,74,11.6,New York
2020-08-28,17.0,21.1,13.9,78,15.2,Paris
2020-08-28,10.5,16.8,4.8,69,10.9,Sydney
2020-08-28,28.9,33.1,25.6,80,17.5,Tokyo
2020-08-29,16.4,22.9,10.6,74,12.0,Antananarivo
2020-08-29,17.6,24.4,11.9,69,5.7,Nairobi
2020-08-29,23.5,25.4,22.1,92,13.7,New York
2020-08-29,14.8,18.3,12.1,80,15.0,Paris
2020-08-29,12.9,20.0,5.3,69,10.0,Sydney
2020-08-29,29.2,33.9,25.6,77,15.5,Tokyo
2020-08-30,15.5,21.1,10.8,73,13.2,Antananarivo
2020-08-30,18.3,25.7,12.3,62,6.7,Nairobi
2020-08-30,22.4,25.5,18.3,65,18.6,New York
2020-08-30,15.2,19.1,11.9,82,16.0,Paris
2020-08-30,17.0,23.2,13.3,54,12.3,Sydney
2020-08-30,29.5,34.6,25.7,72,14.7,Tokyo
2020-08-31,15.2,20.6,10.8,78,12.4,Antananarivo
2020-08-31,17.6,24.8,10.8,62,6.4,Nairobi
2020-08-31,19.5,23.1,15.6,69,8.8,New York
2020-08-31,15.5,19.5,11.1,70,9.3,Paris
2020-08-31,13.5,20.6,9.6,71,15.0,Sydney
2020-08-31,26.9,33.2,23.1,74,16.9,Tokyo
2020-09-01,15.1,21.5,8.1,73,11.5,Antananarivo
2020-09-01,17.4,24.2,11.4,65,6.7,Nairobi
2020-09-01,21.8,24.8,19.7,78,11.5,New York
2020-09-01,15.5,20.1,10.3,69,8.3,Paris
2020-09-01,12.0,16.0,7.7,71,10.3,Sydney
2020-09-01,26.7,28.8,25.1,77,13.5,Tokyo
2020-09-02,16.1,23.4,9.3,64,9.6,Antananarivo
2020-09-02,17.0,24.6,11.0,62,7.1,Nairobi
2020-09-02,22.2,24.9,19.7,90,13.2,New York
2020-09-02,15.9,20.8,9.2,64,6.3,Paris
2020-09-02,18.4,22.8,14.6,49,15.9,Sydney
2020-09-02,28.3,32.2,26.4,81,15.6,Tokyo
2020-09-03,15.7,22.8,11.0,70,11.7,Antananarivo
2020-09-03,17.8,23.9,11.4,65,5.8,Nairobi
2020-09-03,24.8,29.4,22.6,79,12.4,New York
2020-09-03,20.7,25.9,15.0,53,11.7,Paris
2020-09-03,22.0,28.7,16.5,44,17.0,Sydney
2020-09-03,28.0,31.7,24.9,81,23.0,Tokyo
2020-09-04,14.0,21.6,8.4,61,13.8,Antananarivo
2020-09-04,18.0,24.3,11.3,73,5.2,Nairobi
2020-09-04,24.5,28.6,20.9,77,11.4,New York
2020-09-04,21.3,27.6,16.2,66,7.9,Paris
2020-09-04,15.6,20.7,11.1,87,10.9,Sydney
2020-09-04,28.8,34.4,25.0,76,12.9,Tokyo
2020-09-05,14.0,20.4,8.4,67,16.4,Antananarivo
2020-09-05,17.0,22.2,14.3,87,4.9,Nairobi
2020-09-05,20.9,25.5,16.3,63,8.5,New York
2020-09-05,17.1,20.2,13.2,66,13.3,Paris
2020-09-05,13.6,20.7,8.1,74,9.2,Sydney
2020-09-05,27.0,32.0,24.0,83,15.1,Tokyo
2020-09-06,13.6,19.3,8.7,71,14.1,Antananarivo
2020-09-06,16.6,21.2,14.8,90,6.2,Nairobi
2020-09-06,21.1,26.4,16.7,68,11.0,New York
2020-09-06,15.2,18.2,12.0,70,9.4,Paris
2020-09-06,13.8,17.9,8.3,78,8.7,Sydney
2020-09-06,26.3,29.2,24.7,86,13.8,Tokyo
2020-09-07,15.2,22.8,7.8,65,10.9,Antananarivo
2020-09-07,15.1,17.1,12.9,91,7.0,Nairobi
2020-09-07,21.2,24.8,16.6,77,12.8,New York
2020-09-07,16.6,22.1,9.8,65,6.7,Paris
2020-09-07,15.4,20.4,7.8,68,14.8,Sydney
2020-09-07,27.3,30.8,25.8,86,30.9,Tokyo
2020-09-08,16.0,21.9,10.0,72,13.4,Antananarivo
2020-09-08,15.8,19.8,13.0,83,5.2,Nairobi
2020-09-08,21.6,26.8,16.9,83,6.9,New York
2020-09-08,18.9,24.5,12.9,72,6.2,Paris
2020-09-08,16.7,21.7,12.1,76,16.4,Sydney
2020-09-08,27.8,31.3,24.8,78,26.0,Tokyo
2020-09-09,16.9,21.7,13.4,75,15.3,Antananarivo
2020-09-09,15.8,20.1,10.6,78,6.0,Nairobi
2020-09-09,22.0,26.3,18.9,88,6.9,New York
2020-09-09,20.6,26.9,15.7,71,9.6,Paris
2020-09-09,13.5,14.6,12.2,82,16.1,Sydney
2020-09-09,27.9,32.2,25.0,77,18.0,Tokyo
2020-09-10,16.8,21.8,13.1,76,15.8,Antananarivo
2020-09-10,16.8,21.3,11.5,72,5.3,Nairobi
2020-09-10,23.7,27.0,21.9,91,7.8,New York
